,issue,title,date,text,representative_name,representative_state,representative_party,representative_committee
0,Economy,Rep. Sewell Announces 13th Annual Job Fair,"July 11, 2024","The 2024 Job Fair will be held at the Bessemer Civic Center on Thursday, August 8th
Bessemer, AL – Today, U.S. Rep. Terri Sewell (AL-07) announced that she will host her 13th Annual Job Fair at the Bessemer Civic Center in Bessemer, Alabama on Thursday, August 8th from 10:00 a.m. to 2:00 p.m. Rep. Sewell’s largest constituent event of the year, the annual job fair connects job-seekers to employers and reflects her commitment to bringing opportunities directly to her constituents.
“Since coming to Congress, bringing jobs and economic opportunities directly to the people of Alabama’s 7th Congressional District has been my top priority,” said Rep. Sewell. “That’s why I’m thrilled to be bringing our job fair back to Bessemer, Alabama. This event is about ensuring that everyone has access to the resources they need to reach their God-given potential, and that begins with the dignity of a good-paying job.”
The job fair is free and open to the public. Pre-registration is strongly encouraged but not required. On-site registration will be available the day of the event. Constituents can pre-register on Rep. Sewell’s official website at sewell.house.gov/jobfair.
This year’s event will feature employers from at least 10 industries including: Automotive, Restaurant and Food Management, Transportation and Construction, Hospitality and Retail, Health Services, Utilities and Telecommunications, Manufacturing and Production, Staffing Agencies, Government Agencies, and Law Enforcement. 
A full list of employers will be announced at a later date.
###","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
1,Economy,Rep. Sewell Announces $16.9 Million from President Biden’s Bipartisan Infrastructure Law to Upgrade Montgomery Bus System,"July 9, 2024","Montgomery, AL — Today, U.S. Rep. Terri Sewell (AL-07) announced $16,941,377 from the U.S. Department of Transportation (USDOT) to upgrade the City of Montgomery’s bus system. Funding comes from USDOT’s Bus and Bus Facilities Grant Program and was made possible by President Biden’s Bipartisan Infrastructure Law. The grant will help the City of Montgomery buy new battery electric buses, charging equipment, and initiate a workforce training program.
Rep. Sewell was the only member of Alabama’s Congressional Delegation to vote in favor of President Biden’s Bipartisan Infrastructure Law.
“This is great news for the City of Montgomery!” celebrated Rep. Sewell. “I was so proud to help secure this $16.9 million investment in the M Public Transit System Electric Bus Program, and I know that it will go a long way toward improving travel for commuters. As the only member of Alabama’s Congressional Delegation to vote in favor of the Bipartisan Infrastructure Law, I am overjoyed to see investments like these coming to our state. I applaud Secretary Buttigieg and the entire Biden-Harris Administration for utilizing transportation as another tool to help us build a more sustainable future.”
“Today, 117 communities, including Montgomery, are receiving the good news that their transit buses are being modernized and their commutes improved through President Biden's Bipartisan Infrastructure Law,” said U.S. Transportation Secretary Pete Buttigieg. “The Biden-Harris Administration is helping agencies across 47 states replace old buses running on dirty, expensive fuels by delivering modern and zero-emission buses, manufactured by American workers, that will connect more people to where they need to go.”
“This grant is a significant milestone for our community and will propel us towards a more sustainable and efficient public transit system,” said Montgomery Mayor Steven L. Reed. “This will allow our M Transit System to purchase electric buses, charging equipment, and initiate a workforce training program that will create new jobs. I extend my deepest gratitude to Congresswoman Terri Sewell, the Federal Transit Administration, and the Department of Transportation for supporting Montgomery with this grant.”
Background on The Grants for Buses and Bus Facilities Competitive Program
The Grants for Buses and Bus Facilities Competitive Program (49 U.S.C. 5339(b)) makes federal resources available to states and direct recipients to replace, rehabilitate and purchase buses and related equipment and to construct bus-related facilities, including technological changes or innovations to modify low or no emission vehicles or facilities. Funding is provided through formula allocations and competitive grants.
The Federal Transit Administration’s bus funding represents the third bus grant package since President Biden signed the?Bipartisan Infrastructure Law, which has invested more than $3.3 billion in American transit buses and the infrastructure that supports them. Over the next three years, record funding for American transit investment secured under President Biden's leadership will provide almost $5 billion more for bus programs.
For more information on the Grants for Buses and Bus Facilities Announcement, click here.","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
2,Economy,Rep. Sewell Announces $14+ Million in Department of Transportation RAISE Grants for the Cities of York and Fairfield,"June 24, 2024","Fairfield, AL — Today, U.S. Rep. Terri Sewell (AL-07) announced $14,749,000 from the U.S. Department of Transportation (USDOT) to reduce blocked railroad crossings, enhance transportation networks, and create more walkable, bikeable, safe, connected, and livable communities in Alabama’s 7th Congressional District. Funding comes from USDOT’s Rebuilding American Infrastructure with Sustainability and Equity (RAISE) grant program. The City of York was awarded $3 million to alleviate dangerous blocked railroad crossings and the City of Fairfield was awarded $11.7 million to construct 3.8 miles of bicycle facilities. 
“Today marks a major step forward in our fight to eliminate blocked railroad crossing and provide safer and more accessible transportation systems in Alabama’s 7th Congressional District!” celebrated Rep. Sewell. “I was so proud to help the City of York and the City of Fairfield secure this $14 million to make our communities more walkable, bikeable, and livable. I applaud the Biden-Harris Administration, Secretary Buttigieg, and Federal Railroad Administrator Bose for making these transformational investments as we bring more resources and better opportunities to our communities here in Alabama’s 7th Congressional District.” 
In York, the $3 million RAISE grant will be used to plan and design improvements between railroad-highway grade crossings and community impacts such as stopped and idling freight and passenger trains along Norfolk Southern Railways (NSR) AGS South District which also supports Amtrak's Crescent service. The plan will provide recommended improvements to the multimodal freight corridor, including those that seek to reduce conflicts with residential areas, as well as with passing and non-motorized traffic.
“It is a great day!” said York Mayor Willie Lake. “Train blockages have been hindering York for the last 25 years and this is a step in the right direction to help alleviate the stress that the trains have been causing. We’re looking forward to working with Norfolk Southern, FRA, USDOT, Alabama Transportation Institute, and all the partners involved as we move forward. It is a great day.”
“We want to thank Congresswoman Sewell and her office for all that she did to highlight this issue including bringing Secretary Buttigieg to Alabama to see the blockages for himself,” continued Lake. “We are eternally grateful for all of the support she has provided to the City. It has been a long struggle.”
In Fairfield, the $11.7 million RAISE Grant will go towards constructing approximately 3.8 miles of bicycle facilities along Dr. MLK Boulevard, Vinesville Road, and 52nd Street Ensley in Fairfield and Birmingham. The project will also construct three mobility hubs near the bicycle facilities. 
“This RAISE Grant is going to be transformational for the City of Fairfield. It will not only give our citizens a safe place to exercise but will also help with economic development along the walking trail and better connect students from Miles College to the rest of the community,” said Fairfield Mayor Eddie Penny. “I want to thank Congresswoman Sewell and the Freshwater Land Trust for helping the city get this grant which will be very beneficial for the citizens of Fairfield.” 
Background on the RAISE Grant Program
The RAISE Grant program provides a unique opportunity for the DOT to invest in road, rail, transit and port projects that promise to achieve national objectives. Previously known as the Better Utilizing Investments to Leverage Development (BUILD) and Transportation Investment Generating Economic Recovery (TIGER) Discretionary Grants, Congress has dedicated nearly $12.1 billion for fourteen rounds of National Infrastructure Investments to fund projects that have a significant local or regional impact. 
In each competition, DOT receives hundreds of applications to build and repair critical pieces of our freight and passenger transportation networks. The RAISE program enables DOT to examine these projects on their merits to help ensure that taxpayers are getting the highest value for every dollar invested. 
For more information on the Rebuilding America's Infrastructure with Sustainability and Equity or RAISE Program Announcement, click here. 
###","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
3,Economy,Rep. Sewell Hosts Seniors Resource Roundtable in Linden,"June 18, 2024","Sewell highlighted how the Inflation Reduction Act is lowering prescription drug prices and capping insulin costs for Alabama seniors
Linden, AL — Today, U.S. Rep. Terri Sewell (AL-07) hosted a Seniors Resource Roundtable in Linden, Alabama. Representatives from AARP, the Social Security Administration, the Rural Health Medical Program, and the Alabama Tombigbee Regional Area on Aging were on hand to provide information and resources to seniors in Alabama’s 7th Congressional District. Rep. Sewell highlighted how the Inflation Reduction Act is lowering health care and prescription drug costs for hundreds of thousands of Alabama seniors. She reiterated her strong commitment to protecting and expanding Social Security and Medicare.
Photos are available for media and broadcast purposes here.
“I convened this roundtable because I believe that every senior should be able to retire with dignity after a lifetime of work,” said Rep. Sewell. “Our seniors have spent their lives giving back to our communities, and we as Americans have a responsibility to ensure they receive the resources and care they need at a cost they can afford. I understand that. President Biden understands that. And it’s why we have made delivering for our seniors a top priority.”
With Rep. Sewell’s support, Congress passed and President Biden signed the Inflation Reduction Act (IRA) in 2022. Thanks to the IRA’s $35 per month insulin price cap, more than 29,000 Alabama seniors who rely on insulin—including 3,800 in Alabama’s 7th District—are saving an average of $400 annually compared to 2020. As a result of this law, the three largest manufacturers of insulin, who supply nearly all the insulin in the United States, announced that they would slash the cost of their insulins by up to 75%.
The IRA also caps out-of-pocket prescription drug costs for Medicare beneficiaries at $2,000 annually beginning in 2025 and empowers Medicare to negotiate lower prescription drug prices to get a better deal for seniors.
“The bottom line is this,” continued Sewell. “No senior should have to choose between putting food on the table or paying for life-saving medication. That’s why these savings matter. It’s why I will continue to protect programs like Social Security and Medicare which are a lifeline for our seniors.”  
More information on the cost-saving benefits of the Inflation Reduction Act for Alabama’s 7th Congressional District can be found here.","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
4,Economy,Rep. Sewell Announces $16.9 Million in EPA Rebates for Clean School Buses in Alabama,"May 29, 2024","Montgomery, AL —Today, U.S. Rep. Terri Sewell (AL-07) announced $16,910,000 from the U.S. Environmental Protection Agency (EPA) in rebate funding for clean school buses in Alabama. The rebates will help schools purchase over 51 clean school buses in 10 school districts across the state. EPA’s Clean School Bus program was created by President Biden’s Bipartisan Infrastructure Law and will help Alabama accelerate the transition to zero emission vehicles and to replace older, diesel fueled school buses, which have been linked to asthma and other conditions that harm the health of students and surrounding communities. 
Rep. Sewell was the only member of Alabama’s Congressional Delegation to vote in favor of President Biden’s Bipartisan Infrastructure Law. 
“President Biden’s Bipartisan Infrastructure Law is once again delivering for Alabama!” said Rep. Sewell. “Not only will this funding reduce pollution and make our communities healthier, but it will also save our school districts money and free up resources to invest in the success of our students. I was so proud to help make this program possible and I applaud the Biden-Harris Administration for this investment into Alabama’s schools."" 
School districts selected for rebates in Alabama’s 7th Congressional District include:

Selma City has been selected to receive $1,725,000 in rebate funding to purchase five clean school buses for the Lion Electric Co USA Inc. 
Montgomery County has been selected to receive $690,000 in rebate funding to purchase two clean school buses for the Lion Electric Co USA Inc. 

Other Alabama selectees include:

The Alabama Aerospace and Aviation has been selected to receive $400,000 in rebate funding to purchase two clean school buses for the Student Transportation of America, Inc. 
Clay County has been selected to receive $1,035,000 in rebate funding to purchase three clean school buses for the Transportation South, Inc. 
Fort Payne City has been selected to receive $1,380,000 in rebate funding to purchase four clean school buses for the Transportation South, Inc. 
Gulf Shores City has been selected to receive $600,000 in rebate funding to purchase three clean school buses for the Navistar Inc. 
Huntsville City has been selected to receive $ 8,625,000 in rebate funding to purchase 25 clean school buses for the First Student, Inc. 
Jasper City has been selected to receive $690,000 in rebate funding to purchase two clean school buses for the Transportation South, Inc. 
Lanett City has been selected to receive $1,725,000 in rebate funding to purchase five clean school buses for the Lion Electric Co USA Inc. 

The EPA Clean School Bus Program was created by President Biden’s Bipartisan Infrastructure Law, which provides an unprecedented $5 billion of funding to transform the nation’s fleet of school buses. The Clean School Bus Program funds electric buses, which produce zero tailpipe emissions, as well as propane and compressed natural gas (CNG) buses, which produce lower tailpipe emissions compared to their older diesel predecessors.
The Clean School Bus Program will reduce greenhouse gas emissions, save money for school districts, and produce cleaner air. Diesel air pollution is linked to asthma and other conditions that harm students’ health and cause them to miss school, particularly in communities of color and Tribal communities. Phasing out these diesel engines will ensure cleaner air for students, bus drivers, and school staff working near the bus loading areas, and the communities through which the buses drive each day.
The reduction in greenhouse gas emissions from these bus replacements will also help to address the outsized role of the transportation sector in fueling the climate crisis. The program will save school districts money as they upgrade school bus fleets, replacing existing buses with brand new zero-emission and clean school buses, while freeing up needed resources for schools. 
View the full list of Clean School Bus Program awards here.
 ###","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
5,Economy,Rep. Sewell Votes for FAA Reauthorization Act of 2024,"May 15, 2024","Washington D.C. —Today, U.S. Rep. Terri Sewell (AL-07) voted in favor of the FAA Reauthorization Act of 2024 to reauthorize the Federal Aviation Administration (FAA) for five years. The bill will maintain American leadership in aviation safety and aerospace innovation, improve passenger protections and accessibility, strengthen and diversify the U.S. aviation workforce, and make groundbreaking investments in sustainability and resiliency.
The FAA Reauthorization Act passed the House today by an overwhelmingly bipartisan vote of 387 to 26. Having previously passed the Senate, it will now make its way to President Biden’s desk to be signed into law.
“Americans depend on the Federal Aviation Administration for safe and reliable air travel,” said Rep. Sewell. “With this strong, bipartisan legislation, we are ensuring that the FAA can continue its essential mission for years to come.”
“I am particularly excited about the new protections for airline passengers included in this bill,” continued Sewell. “Thanks to provisions secured by Democrats, Americans will finally be able to sit next to young family members at no cost, and passengers will enjoy additional protections when their flights are delayed or canceled. We also authorized additional funding to recruit workers from underrepresented communities so that we can build a more diverse and inclusive aviation workforce.”
Rep. Sewell and Congressional Democrats secured key wins in the FAA Reauthorization Act:
Improves and Expands Protections and Accessibility for Passengers:

It requires airlines to refund passengers with nonrefundable flights when their flight is canceled, significantly delayed, or changed if they choose not to fly on the delayed or changed flight.
It directs DOT to require airlines to develop policies addressing reimbursement for passengers for hotel and meal costs when a flight is canceled or significantly delayed.
It directs DOT to establish regulations requiring airlines to allow passengers to sit next to their young child to the greatest extent practical at no additional cost.

Strengthens and Diversifies the U.S. Aviation Workforce:

It significantly increases funding for the FAA’s aviation workforce development grants to $60 million to strengthen our talent pipeline of pilots, aviation maintenance technical workers, and aviation manufacturing workers. It also transitions these grants to a new Cooperative Aviation Recruitment, Enrichment, and Employment Readiness (CAREER) grant program, with broader eligibility to promote workforce development opportunities.
It also sets aside 20 percent of the total $60 million in funds for the Willa Brown Aviation Education Program to support outreach and educational opportunities in low-income communities.
It encourages the FAA to continue its outreach and engagement with Historically Black Colleges and Universities (HBCUs) and Minority Serving Institutions (MSIs) to promote awareness of educational and career opportunities. It also directs the FAA to continue the operation of the MSI Internship Program.

Bill text is available here.","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
6,Economy,Rep. Sewell Honors Award-Winning Small Businesses in Alabama’s 7th Congressional District During National Small Business Week,"May 1, 2024","Washington D.C. — Today, during National Small Business Week, U.S. Rep. Terri Sewell (AL-07) spoke on the House Floor to honor two award-winning small businesses in Alabama’s 7th Congressional District. Rep. Sewell recognized Ms. Jackie Smith, owner and operator of the Coffee Shoppe and Reflections in Selma, for being named the U.S. Small Business Administration’s (SBA) 2024 Phoenix Award Winner for Outstanding Disaster Recovery Efforts. Sewell also recognized Shanna Ullmann, Timothy Ullmann, and Robert Prescott of Transformation Partners, LLC in Tuscaloosa for being named SBA’s 2024 Small Business Persons of the Year for Alabama.
Watch it on YouTube here.
Rep. Sewell: Mr. Speaker, I rise to honor the award-winning small business owners in Alabama's 7th Congressional District as we celebrate this week, National Small Business Week. 
Ms. Jackie Smith is the proud owner and operator of the Coffee Shoppe and Reflections in our hometown of Selma, Alabama. After leaving her job in 2011, Jackie bravely took on the risk of opening up her own small business, turning the site that once was a segregated diner into a beautiful coffee shop in the heart of downtown Selma. For 13 years, the Coffee Shoppe has provided a place for community to come together, learn about Selma's history, and eat some great food.
Like any business owner, Jackie has had her fair share of hardships. After the tornado of January 12, 2023, we saw her resilience, and thanks to an investment by the SBA, she was able to open her doors and continue the Coffee Shoppe's great legacy. And in fact, she opened up another business, Reflections. 
This week, Jackie's extraordinary entrepreneurship earned her national recognition as the Small Business Administration's 2024 Phoenix Award Winner for Outstanding Disaster Recovery Efforts. We congratulate her on her outstanding achievements. 
Today, we also recognize SBA's 2024 Small Business Persons of the Year in Alabama, and that was Shanna Ullmann, Timothy Ullmann, and Robert Prescott of Transformation Partners, LLC in Tuscaloosa, Alabama.
Beginning in the year 2000 as a statewide training provider, her firm has grown tremendously over the past two decades. Today, they serve numerous clients in the field of higher education, government, military, corporate America, offering consulting services and employee development programming. 
Transformation Partners was hit hard by the COVID-19 pandemic. But once again, thanks to the assistance of the SBA, the firm remained operational and weathered the storm. Now their efforts have earned them national recognition as SBA's 2024 National Small Business Persons of the Year for Alabama. 
I ask my colleagues to join me in celebrating the outstanding entrepreneurship in Alabama's 7th Congressional District. Congratulations to all of our winners. We wish you much success in the years ahead.
###","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
7,Economy,Rep. Sewell Continues Small Business Tour Through Alabama’s 7th Congressional District Ahead of National Small Business Week,"April 26, 2024","Birmingham, AL — Ahead of National Small Business Week, U.S. Rep. Terri Sewell (AL-07) continued her Small Business Tour through Alabama’s 7th Congressional District. Rep. Sewell made stops at four local businesses to showcase their contributions to the local economy and highlight the importance of shopping small.

“We in Alabama’s 7th Congressional District are home to so many amazing small businesses whose impact on our community can never be overstated,” Rep. Sewell. “Small businesses are the strongest economic engine in our country and the backbone of our economy, and I am committed to doing what I can to help them thrive. During National Small Businesses Week, we can all play a role in supporting our small businesses by shopping local and shopping small!”
On Friday, Rep. Sewell stopped for lunch at Travis Chicago Style, a locally owned food truck known for their Polish sausage and bear burger. Sewell also visited Alabama Goods, a locally owned retail store in Homewood specializing in Alabama made products, and Bearden Design, a locally owned boutique and women’s clothing store offering unique styles from all over the world.
Earlier this week, Rep. Sewell stopped by The Coffee Shoppe in Selma which will soon be awarded the U.S. Small Business Administration’s (SBA) 2024 Phoenix Award for Outstanding Disaster Recovery Efforts. On Monday, she will host a “Terri Talks” virtual discussion with owner Jackie Smith. The conversation will stream live on Sewell’s official Facebook, Twitter, and YouTube pages at 3:00 p.m. CST.
This year, National Small Business Week takes place April 28 - May 4, 2024, and officially recognizes the hard work, ingenuity, and dedication of our nation’s small businesses, including their contributions to the economy.","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
8,Economy,Rep. Sewell Secures $13.1 Million in Direct Funding for Local Projects in the Fiscal Year 2024 Government Funding Package,"March 27, 2024","Funding responds directly to some of the most pressing needs in Alabama’s 7th District
Washington D.C. — Today, U.S. Rep. Terri Sewell (AL-07) announced that she secured $13.1 million for thirteen community projects in Alabama’s 7th Congressional District in the Fiscal Year 2024 government funding package. The projects respond directly to some of the most pressing needs in Alabama’s 7th District. President Biden signed the second and final Fiscal Year 2024 government funding package on Saturday morning.
“Since day one, it has been my mission to bring more resources and better opportunities to the people of Alabama’s 7th Congressional District, and with this year’s government funding package, that is exactly what we are doing!” said Rep. Sewell. “This $13.1 million is the culmination of months of hard work, and we are thrilled that this funding is now on its way to our community. From healthcare to public safety to infrastructure, these projects respond directly to some of the most pressing needs of our district and will help reverse decades of disinvestment.”
Rep. Sewell championed funding for thirteen projects that will directly benefit the residents of Alabama’s 7th Congressional District. These include: 
Jefferson County

$1,000,000 to the Housing Authority of the Birmingham District to renovate the former Loveman Village Public Housing Community and expand its daycare facility to accommodate more children.
$1,000,000 for the City of Homewood to improve water drainage by installing a stormwater culvert.
$850,000 for Miles College to make security upgrades and improve public safety resources on-campus and in the surrounding community.


$500,000 for infrastructure improvements at the Bessemer Airport including construction of a drone cage and testing facility to provide pilot training, product research and development, competitive activities, and recreation for the local community including underserved students.

Montgomery County

$500,000 to revitalize and connect communities in the City of Montgomery.

Dallas County

$1,666,279 to the City of Selma for infrastructure revitalization projects within a 12-block area of downtown Selma. 

Tuscaloosa County

$850,000 for the West Alabama Food Bank to increase distribution capabilities in Alabama's western most counties and provide fresh food to seniors and children.

Hale County

$1,000,000 for the Hale County Healthcare Authority for improvements to the Hale County Hospital to expand its capacity to provide exceptional health care to rural and underserved communities in the Black Belt.

Marengo County

$2,700,000 for a new FEMA storm shelter in Demopolis.

Sumter County

$500,000 for the Black Belt Development and Conservation Resource Center in Livingston to spur rural innovation and entrepreneurship. 

Pickens County

$637,195 for Pickens County to construct a new 911 emergency communications facility.

Choctaw County

$1,000,000 toward a facility in the Town of Pennington that can serve as a community center, disaster recovery, emergency response, and resources center.

Wilcox County

$959,752 for Wilcox County to install water lines and ensure a safe and reliable source of potable water.","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
9,Economy,Rep. Sewell Highlights How a Republican Government Shutdown Would Harm Families in Alabama,"September 27, 2023","A Republican shutdown would hurt working families, interrupt vital services, damage our economy, endanger our national security, and force millions of troops and government employees to work without pay
Washington D.C. – With just three days remaining until a potential extreme Republican government shutdown, U.S. Rep. Terri Sewell (AL-07) warned that House Republicans are risking serious consequences for Alabama families.
“Alabama families shouldn’t be forced to pay the price for House Republicans’ inability to govern,” said Rep Sewell. “A Republican government shutdown would force troops to work without pay, harm small businesses, risk air travel disruptions, and endanger access to food assistance for families. It is unconscionable that House Republicans would hurt working families, damage our economy, and endanger our national security.”
“I will continue to do everything in my power to keep the government open and protect the programs that Alabamians rely on,” continued Sewell. “It’s time for House Republicans to do their jobs, put American families first, and stop charging towards a government shutdown.”
According to new data released by House Budget Committee Minority, a Republican government shutdown would:

Force troops to serve without pay: 38,017 active duty and reserve personnel serving our nation's armed forces in Alabama would be forced to go without the pay they earn during a shutdown.
Hurt Alabama small businesses: The Small Business Administration would stop processing small business loans, halting a program that provides $284,694,700 in funding to small businesses in Alabama every year.
Disrupt air travel: 4,797 people flying through Alabama airports every day would face potential delays and safety concerns due to staffing impacts on TSA agents and air traffic controllers.
Cut off food assistance for Alabama children and families: 111,999 people in Alabama would soon lose access to Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) benefits. 772,813 Supplemental Nutrition Assistance Program (SNAP) beneficiaries in Alabama would lose access to benefits in a prolonged shutdown.
Hurt federal workers: 46,826 federal workers in Alabama would be furloughed or forced to work without pay, in addition to the many employees of businesses with government contracts who could be laid off, furloughed, or see their hours cut.
Jeopardize food and drug safety: Workers at the Food and Drug Administration (FDA) would be sidelined, risking interruptions and delays to the 224 food safety, pharmaceutical manufacturing, and other inspections conducted in Alabama last year.
Hurt rural Alabamians’ ability to secure housing loans: The Department of Agriculture would be forced to stop processing housing loans, which provide $545,442,546 in funding to help 3,049 families in rural Alabama communities buy homes every year.
Hurt Alabama farmers: The Department of Agriculture would be forced to stop processing farm loans which provide $93,451,000 in funding for farmers in Alabama every year.
Close National Parks: 1,294,952 people who visit national parks in Alabama every year would be turned away or unable to fully access parks, monuments, and museums.
Put vulnerable families at risk: State governments would be forced to pay for federal services like the Temporary Assistance for Needy Families (TANF) program, potentially risking benefits for the 12,888 TANF beneficiaries in Alabama.

Constituents with questions about the impacts of a Republican government shutdown can visit sewell.house.gov/governmentshutdown.","Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means
