state,party,district,name,office_room,phone,committee,page_link
Alabama,D,7th,"Sewell, Terri",1035 LHOB,(202) 225-2665,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/
Alabama,R,1st,"Carl, Jerry",1330 LHOB,(202) 225-4931,Appropriations|Natural Resources,https://carl.house.gov
Alaska,D,At Large,"Peltola, Mary",153 CHOB,(202) 225-5765,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov
American Samoa,R,Delegate,"Radewagen, Aumua Amata",2001 RHOB,(202) 225-8577,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov
Arizona,D,3rd,"Gallego, Ruben",1114 LHOB,(202) 225-4065,Armed Services|Natural Resources,https://rubengallego.house.gov/
Arizona,R,1st,"Schweikert, David",460 CHOB,(202) 225-2190,Ways and Means,https://schweikert.house.gov/
Arkansas,R,1st,"Crawford, Eric",2422 RHOB,(202) 225-4076,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/
California,D,2nd,"Huffman, Jared",2445 RHOB,(202) 225-5161,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov
California,R,1st,"LaMalfa, Doug",408 CHOB,(202) 225-3076,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov
Colorado,D,1st,"DeGette, Diana",2111 RHOB,(202) 225-4431,Energy and Commerce,https://degette.house.gov
Colorado,R,3rd,"Boebert, Lauren",1713 LHOB,(202) 225-4761,Oversight and Accountability|Natural Resources,https://boebert.house.gov
Connecticut,D,1st,"Larson, John",1501 LHOB,(202) 225-2265,Ways and Means,https://larson.house.gov/
Delaware,D,At Large,"Blunt Rochester, Lisa",1724 LHOB,(202) 225-4165,Energy and Commerce,https://bluntrochester.house.gov
District of Columbia,D,Delegate,"Norton, Eleanor",2136 RHOB,(202) 225-8050,Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/
Florida,D,9th,"Soto, Darren",2353 RHOB,(202) 225-9889,Agriculture|Energy and Commerce,https://soto.house.gov
Florida,R,1st,"Gaetz, Matt",2021 RHOB,(202) 225-4136,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov
Georgia,D,2nd,"Bishop, Sanford",2407 RHOB,(202) 225-3631,Agriculture|Appropriations,https://bishop.house.gov/
Georgia,R,1st,"Carter, Earl",2432 RHOB,(202) 225-5831,Budget|Energy and Commerce,https://buddycarter.house.gov/
Guam,R,Delegate,"Moylan, James",1628 LHOB,(202) 225-1188,Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov
Hawaii,D,1st,"Case, Ed",2210 RHOB,(202) 225-2726,Appropriations|Natural Resources,https://case.house.gov/
Idaho,R,1st,"Fulcher, Russ",1514 LHOB,(202) 225-6611,Energy and Commerce|Natural Resources,https://fulcher.house.gov/
Illinois,D,1st,"Jackson, Jonathan",1641 LHOB,(202) 225-4372,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov
Illinois,R,12th,"Bost, Mike",352 CHOB,(202) 225-5661,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/
Indiana,D,1st,"Mrvan, Frank",1607 LHOB,(202) 225-2461,Education and the Workforce|Veterans' Affairs,https://mrvan.house.gov
Indiana,R,2nd,"Yakym, Rudy",349 CHOB,(202) 225-3915,Budget|Transportation and Infrastructure,https://yakym.house.gov
Iowa,R,1st,"Miller-Meeks, Mariannette",1034 LHOB,(202) 225-6576,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs,https://millermeeks.house.gov/
Kansas,D,3rd,"Davids, Sharice",2435 RHOB,(202) 225-2865,Agriculture|Transportation and Infrastructure|Small Business,https://davids.house.gov/
Kansas,R,1st,"Mann, Tracey",344 CHOB,(202) 225-2715,Agriculture|Transportation and Infrastructure|Small Business,https://mann.house.gov
Kentucky,D,3rd,"McGarvey, Morgan",1527 LHOB,(202) 225-5401,Small Business|Veterans' Affairs,https://mcgarvey.house.gov
Kentucky,R,1st,"Comer, James",2410 RHOB,(202) 225-3115,Education and the Workforce|Oversight and Accountability,https://comer.house.gov/
