,state,party,district,name,committee,page_link
0,Alabama,D,7th,"Sewell, Terri",Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/
1,Alabama,R,1st,"Carl, Jerry",Appropriations|Natural Resources,https://carl.house.gov
2,Alaska,D,At Large,"Peltola, Mary",Natural Resources|Transportation and Infrastructure,https://peltola.house.gov
3,American Samoa,R,Delegate,"Radewagen, Aumua Amata",Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov
4,Arizona,D,3rd,"Gallego, Ruben",Armed Services|Natural Resources,https://rubengallego.house.gov/
5,Arizona,R,1st,"Schweikert, David",Ways and Means,https://schweikert.house.gov/
6,Arkansas,R,1st,"Crawford, Eric","Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/
7,California,D,2nd,"Huffman, Jared",Natural Resources|Transportation and Infrastructure,https://huffman.house.gov
8,California,R,1st,"LaMalfa, Doug",Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov
9,Colorado,D,1st,"DeGette, Diana",Energy and Commerce,https://degette.house.gov
10,Colorado,R,3rd,"Boebert, Lauren",Oversight and Accountability|Natural Resources,https://boebert.house.gov
11,Connecticut,D,1st,"Larson, John",Ways and Means,https://larson.house.gov/
12,Delaware,D,At Large,"Blunt Rochester, Lisa",Energy and Commerce,https://bluntrochester.house.gov
13,District of Columbia,D,Delegate,"Norton, Eleanor",Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/
14,Florida,D,9th,"Soto, Darren",Agriculture|Energy and Commerce,https://soto.house.gov
15,Florida,R,1st,"Gaetz, Matt",Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov
16,Georgia,D,2nd,"Bishop, Sanford",Agriculture|Appropriations,https://bishop.house.gov/
17,Georgia,R,1st,"Carter, Earl",Budget|Energy and Commerce,https://buddycarter.house.gov/
18,Guam,R,Delegate,"Moylan, James",Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov
19,Hawaii,D,1st,"Case, Ed",Appropriations|Natural Resources,https://case.house.gov/
20,Idaho,R,1st,"Fulcher, Russ",Energy and Commerce|Natural Resources,https://fulcher.house.gov/
21,Illinois,D,1st,"Jackson, Jonathan",Agriculture|Foreign Affairs,https://jonathanjackson.house.gov
22,Illinois,R,12th,"Bost, Mike",Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/
23,Indiana,D,1st,"Mrvan, Frank",Education and the Workforce|Veterans' Affairs,https://mrvan.house.gov
24,Indiana,R,2nd,"Yakym, Rudy",Budget|Transportation and Infrastructure,https://yakym.house.gov
