Unnamed: 0,state,district,name,party,committee,page_link
0,Alabama,1st,"Carl, Jerry",R,Appropriations|Natural Resources,https://carl.house.gov
1,Alabama,2nd,"Moore, Barry",R,Agriculture|Judiciary,https://barrymoore.house.gov
2,Alabama,3rd,"Rogers, Mike",R,Armed Services,https://mikerogers.house.gov/
3,Alabama,4th,"Aderholt, Robert",R,Appropriations,https://aderholt.house.gov/
4,Alabama,5th,"Strong, Dale",R,"Armed Services|Homeland Security|Science, Space, and Technology",https://strong.house.gov
5,Alabama,6th,"Palmer, Gary",R,Oversight and Accountability|Energy and Commerce,https://palmer.house.gov/
6,Alabama,7th,"Sewell, Terri",D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/
7,Alaska,At Large,"Peltola, Mary",D,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov
8,American Samoa,Delegate,"Radewagen, Aumua Amata",R,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov
9,Arizona,1st,"Schweikert, David",R,Ways and Means,https://schweikert.house.gov/
10,Arizona,2nd,"Crane, Elijah",R,Homeland Security|Small Business|Veterans' Affairs,https://crane.house.gov
11,Arizona,3rd,"Gallego, Ruben",D,Armed Services|Natural Resources,https://rubengallego.house.gov/
12,Arizona,4th,"Stanton, Greg",D,Foreign Affairs|Transportation and Infrastructure,https://stanton.house.gov/
13,Arizona,5th,"Biggs, Andy",R,Oversight and Accountability|Judiciary,https://biggs.house.gov
14,Arizona,6th,"Ciscomani, Juan",R,Appropriations|Veterans' Affairs,https://ciscomani.house.gov
15,Arizona,7th,"Grijalva, Raul",D,Education and the Workforce|Natural Resources,https://grijalva.house.gov/
16,Arizona,8th,"Lesko, Debbie",R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://lesko.house.gov
17,Arizona,9th,"Gosar, Paul",R,Oversight and Accountability|Natural Resources,https://gosar.house.gov/
18,Arkansas,1st,"Crawford, Eric",R,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/
19,Arkansas,2nd,"Hill, J.",R,Financial Services|Foreign Affairs|Intelligence,https://hill.house.gov/
20,Arkansas,3rd,"Womack, Steve",R,Appropriations,https://womack.house.gov/
21,Arkansas,4th,"Westerman, Bruce",R,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/
22,California,1st,"LaMalfa, Doug",R,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov
23,California,2nd,"Huffman, Jared",D,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov
24,California,3rd,"Kiley, Kevin",R,Education and the Workforce|Judiciary|Transportation and Infrastructure,https://kiley.house.gov
25,California,4th,"Thompson, Mike",D,Ways and Means,https://mikethompson.house.gov/
26,California,5th,"McClintock, Tom",R,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/
