,representative_name,representative_state,representative_party,representative_committee,link,issues_catched
0,"Radewagen, Aumua Amata",American Samoa,R,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov/,"['Economy & Jobs (Small Business)', 'Education', 'Foreign Affairs', 'Natural Resources', 'Transportation', 'Veterans', 'Budget', 'Energy', 'Environment', 'Fisheries']"
1,"Palmer, Gary",Alabama,R,Oversight and Accountability|Energy and Commerce,https://palmer.house.gov/,"['Energy and the Environment', 'Financial Services', 'Foreign Affairs', 'Health Care', 'Spending Cuts and Debt', 'Education and Opportunity', 'Jobs and Economic Growth', 'Oversight', 'Tax Reform', 'Transportation', 'Right to Life', 'Veterans', 'Constitution', 'Defense', 'Homeland Security', 'Second Amendment', 'Budget', 'Immigration', 'Judiciary', 'National Security', 'Overregulation']"
2,"Peltola, Mary",Alaska,D,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov/,
3,"Aderholt, Robert",Alabama,R,Appropriations,https://aderholt.house.gov/,"['Economy', 'Education', 'Energy', 'Faith and Religious Freedom', 'Gun Rights', 'Health Care', 'Immigration', 'Agriculture', 'Defense', 'Family Values']"
4,"Rogers, Mike",Alabama,R,Armed Services,https://mikerogers.house.gov/,
5,"Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/,
6,"Gallego, Ruben",Arizona,D,Armed Services|Natural Resources,https://rubengallego.house.gov/,
7,"Stanton, Greg",Arizona,D,Foreign Affairs|Transportation and Infrastructure,https://stanton.house.gov/,
8,"Moore, Barry",Alabama,R,Agriculture|Judiciary,https://barrymoore.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
9,"Strong, Dale",Alabama,R,"Armed Services|Homeland Security|Science, Space, and Technology",https://strong.house.gov/,"['Education', 'Veterans', 'Securing the Border', 'Supporting Law Enforcement', 'Sanctity of Life', 'Gun Rights', 'National Defense']"
10,"Lesko, Debbie",Arizona,R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://lesko.house.gov/,
11,"Schweikert, David",Arizona,R,Ways and Means,https://schweikert.house.gov/,
12,"Carl, Jerry",Alabama,R,Appropriations|Natural Resources,https://carl.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
13,"Gosar, Paul",Arizona,R,Oversight and Accountability|Natural Resources,https://gosar.house.gov/,
14,"Biggs, Andy",Arizona,R,Oversight and Accountability|Judiciary,https://biggs.house.gov/,"['Congress', 'Education', 'Energy', 'Health Care', 'Taxes and Economy', 'Veterans']"
15,"Crane, Elijah",Arizona,R,Homeland Security|Small Business|Veterans' Affairs,https://crane.house.gov/,
16,"LaMalfa, Doug",California,R,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov/,"['Agriculture', 'Congressional Issues', 'Defense and National Security', 'Economy and Jobs', 'Education', 'Energy', 'Federal Spending and Borrowing', 'Financial Services', 'Foreign Affairs', 'Forestry', 'Health Care', 'Infrastructure', 'Social Security and Medicare', 'Tax Reform', 'Transportation', 'Veterans Issues', 'Water']"
17,"Womack, Steve",Arkansas,R,Appropriations,https://womack.house.gov/,
18,"Ciscomani, Juan",Arizona,R,Appropriations|Veterans' Affairs,https://ciscomani.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
19,"Hill, J.",Arkansas,R,Financial Services|Foreign Affairs|Intelligence,https://hill.house.gov/,
