,representative_name,representative_state,representative_party,representative_committee,link,issues_catched
0,"Carl, Jerry",Alabama,R,Appropriations|Natural Resources,https://carl.house.gov/,
1,"Sewell, Terri",Alabama,D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/,"['Economy', 'Education', 'Healthcare', 'Jobs and Workforce Development', 'Veterans', 'Voting Rights']"
2,"Palmer, Gary",Alabama,R,Oversight and Accountability|Energy and Commerce,https://palmer.house.gov/,
3,"Strong, Dale",Alabama,R,"Armed Services|Homeland Security|Science, Space, and Technology",https://strong.house.gov/,
4,"Moore, Barry",Alabama,R,Agriculture|Judiciary,https://barrymoore.house.gov/,
5,"Radewagen, Aumua Amata",American Samoa,R,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov/,
6,"Aderholt, Robert",Alabama,R,Appropriations,https://aderholt.house.gov/,
7,"Peltola, Mary",Alaska,D,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov/,
8,"Schweikert, David",Arizona,R,Ways and Means,https://schweikert.house.gov/,
9,"Gallego, Ruben",Arizona,D,Armed Services|Natural Resources,https://rubengallego.house.gov/,
10,"Crane, Elijah",Arizona,R,Homeland Security|Small Business|Veterans' Affairs,https://crane.house.gov/,
11,"Rogers, Mike",Alabama,R,Armed Services,https://mikerogers.house.gov/,
12,"Stanton, Greg",Arizona,D,Foreign Affairs|Transportation and Infrastructure,https://stanton.house.gov/,
13,"Biggs, Andy",Arizona,R,Oversight and Accountability|Judiciary,https://biggs.house.gov/,
14,"Ciscomani, Juan",Arizona,R,Appropriations|Veterans' Affairs,https://ciscomani.house.gov/,
15,"Grijalva, Raul",Arizona,D,Education and the Workforce|Natural Resources,https://grijalva.house.gov/,
16,"Gosar, Paul",Arizona,R,Oversight and Accountability|Natural Resources,https://gosar.house.gov/,
17,"LaMalfa, Doug",California,R,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov/,
18,"Westerman, Bruce",Arkansas,R,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/,
19,"Hill, J.",Arkansas,R,Financial Services|Foreign Affairs|Intelligence,https://hill.house.gov/,
20,"Huffman, Jared",California,D,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov/,
21,"Womack, Steve",Arkansas,R,Appropriations,https://womack.house.gov/,
22,"McClintock, Tom",California,R,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/,
