,state,district,name,party,office_room,phone,committee,page_link
0,Alabama,1st,"Carl, Jerry",R,1330 LHOB,(202) 225-4931,Appropriations|Natural Resources,https://carl.house.gov
1,Alabama,2nd,"Moore, Barry",R,1504 LHOB,(202) 225-2901,Agriculture|Judiciary,https://barrymoore.house.gov
2,Alabama,3rd,"Rogers, Mike",R,2469 RHOB,(202) 225-3261,Armed Services,https://mikerogers.house.gov/
3,Alabama,4th,"Aderholt, Robert",R,266 CHOB,(202) 225-4876,Appropriations,https://aderholt.house.gov/
4,Alabama,5th,"Strong, Dale",R,1337 LHOB,(202) 225-4801,"Armed Services|Homeland Security|Science, Space, and Technology",https://strong.house.gov
5,Alabama,6th,"Palmer, Gary",R,170 CHOB,(202) 225-4921,Oversight and Accountability|Energy and Commerce,https://palmer.house.gov/
6,Alabama,7th,"Sewell, Terri",D,1035 LHOB,(202) 225-2665,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,https://sewell.house.gov/
7,Alaska,At Large,"Peltola, Mary",D,153 CHOB,(202) 225-5765,Natural Resources|Transportation and Infrastructure,https://peltola.house.gov
8,American Samoa,Delegate,"Radewagen, Aumua Amata",R,2001 RHOB,(202) 225-8577,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov
9,Arizona,1st,"Schweikert, David",R,460 CHOB,(202) 225-2190,Ways and Means,https://schweikert.house.gov/
10,Arizona,2nd,"Crane, Elijah",R,1229 LHOB,(202) 225-3361,Homeland Security|Small Business|Veterans' Affairs,https://crane.house.gov
11,Arizona,3rd,"Gallego, Ruben",D,1114 LHOB,(202) 225-4065,Armed Services|Natural Resources,https://rubengallego.house.gov/
12,Arizona,4th,"Stanton, Greg",D,207 CHOB,(202) 225-9888,Foreign Affairs|Transportation and Infrastructure,https://stanton.house.gov/
13,Arizona,5th,"Biggs, Andy",R,252 CHOB,(202) 225-2635,Oversight and Accountability|Judiciary,https://biggs.house.gov
14,Arizona,6th,"Ciscomani, Juan",R,1429 LHOB,(202) 225-2542,Appropriations|Veterans' Affairs,https://ciscomani.house.gov
15,Arizona,7th,"Grijalva, Raul",D,1203 LHOB,(202) 225-2435,Education and the Workforce|Natural Resources,https://grijalva.house.gov/
16,Arizona,8th,"Lesko, Debbie",R,1214 LHOB,(202) 225-4576,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://lesko.house.gov
17,Arizona,9th,"Gosar, Paul",R,2057 RHOB,(202) 225-2315,Oversight and Accountability|Natural Resources,https://gosar.house.gov/
18,Arkansas,1st,"Crawford, Eric",R,2422 RHOB,(202) 225-4076,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/
19,Arkansas,2nd,"Hill, J.",R,1533 LHOB,(202) 225-2506,Financial Services|Foreign Affairs|Intelligence,https://hill.house.gov/
20,Arkansas,3rd,"Womack, Steve",R,2412 RHOB,(202) 225-4301,Appropriations,https://womack.house.gov/
21,Arkansas,4th,"Westerman, Bruce",R,202 CHOB,(202) 225-3772,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/
22,California,1st,"LaMalfa, Doug",R,408 CHOB,(202) 225-3076,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov
23,California,2nd,"Huffman, Jared",D,2445 RHOB,(202) 225-5161,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov
24,California,3rd,"Kiley, Kevin",R,1032 LHOB,(202) 225-2523,Education and the Workforce|Judiciary|Transportation and Infrastructure,https://kiley.house.gov
